reaction,flux,dilution
EX_fru_e,0.148986,0.1
EX_glc_e,0.148986,0.1
EX_gal_e,0.148986,0.1
EX_man_e,0.148986,0.1
EX_mnl_e,0.148986,0.1
EX_fuc_L_e,0.148986,0.1
EX_glcn_e,0.148986,0.1
EX_rmn_e,0.148986,0.1
EX_arab_L_e,0.178783,0.1
EX_drib_e,0.178783,0.1
EX_rib_D_e,0.178783,0.1
EX_xyl_D_e,0.178783,0.1
EX_oxa_e,0.446957,0.1
EX_lcts_e,0.074493,0.1
EX_malt_e,0.074493,0.1
EX_sucr_e,0.074493,0.1
EX_melib_e,0.074493,0.1
EX_cellb_e,0.074493,1
EX_tre_e,0.074493,1
EX_strch1_e,0.257339,1
EX_amylopect900_e,1.57E-05,1
EX_amylose300_e,4.70E-05,1
EX_arabinan101_e,0.000166277,1
EX_arabinogal_e,2.19E-05,1
EX_arabinoxyl_e,0.000306649,1
EX_bglc_e,7.05E-08,1
EX_cellul_e,2.82E-05,1
EX_dextran40_e,0.000176323,1
EX_galmannan_e,1.41E-05,1
EX_glcmannan_e,3.29E-05,1
EX_homogal_e,0.000128235,1
EX_inulin_e,0.000470195,1
EX_kestopt_e,0.002821167,1
EX_levan1000_e,1.41E-05,1
EX_lmn30_e,0.000470195,1
EX_lichn_e,8.30E-05,1
EX_pect_e,3.34E-05,1
EX_pullulan1200_e,1.18E-05,1
EX_raffin_e,0.004701945,1
EX_rhamnogalurI_e,1.45E-05,1
EX_rhamnogalurII_e,0.000266987,1
EX_starch1200_e,1.18E-05,1
EX_xylan_e,3.21E-05,1
EX_xyluglc_e,1.31E-05,1
EX_arachd_e,0.003328,0.1
EX_chsterol_e,0.004958,0.1
EX_glyc_e,1.799655,0.1
EX_hdca_e,0.396371,0.1
EX_hdcea_e,0.036517,0.1
EX_lnlc_e,0.359109,0.1
EX_lnlnca_e,0.017565,0.1
EX_lnlncg_e,0.017565,0.1
EX_ocdca_e,0.169283,0.1
EX_ocdcea_e,0.681445,0.1
EX_octa_e,0.012943,0.1
EX_ttdca_e,0.068676,0.1
EX_ala_L_e,1,0.1
EX_ser_L_e,1,0.1
EX_cys_L_e,1,0.1
EX_arg_L_e,0.15,0.1
EX_ile_L_e,0.15,0.1
EX_leu_L_e,0.15,0.1
EX_lys_L_e,0.15,0.1
EX_his_L_e,0.15,0.1
EX_asn_L_e,0.225,0.1
EX_thr_L_e,0.225,0.1
EX_asp_L_e,0.225,0.1
EX_glu_L_e,0.18,0.1
EX_met_L_e,0.18,0.1
EX_gln_L_e,0.18,0.1
EX_pro_L_e,0.18,0.1
EX_val_L_e,0.18,0.1
EX_phe_L_e,1,0.1
EX_tyr_L_e,1,0.1
EX_gly_e,0.45,0.1
EX_trp_L_e,0.08182,0.1
EX_thm_e,1,0.1
EX_ribflv_e,1,0.1
EX_nac_e,1,0.1
EX_btn_e,1,0.1
EX_pnto_R_e,1,0.1
EX_pydxn_e,1,0.1
EX_pydx_e,1,0.1
EX_pydam_e,1,0.1
EX_fol_e,1,0.1
EX_adpcbl_e,1,0.1
EX_pheme_e,1,0.1
EX_cbl1_e,1,0.1
EX_chol_e,1,0.1
EX_h2s_e,1,0.1
EX_so4_e,1,0.1
EX_spmd_e,1,0.1
EX_na1_e,1,0.1
EX_ca2_e,1,0.1
EX_cobalt2_e,1,0.1
EX_cl_e,1,0.1
EX_k_e,1,0.1
EX_fe2_e,1,0.1
EX_fe3_e,1,0.1
EX_fe3dcit_e,1,0.1
EX_mg2_e,1,0.1
EX_mn2_e,1,0.1
EX_mobd_e,1,0.1
EX_cu2_e,1,0.1
EX_zn2_e,1,0.1
EX_sel_e,1,0.1
EX_pime_e,1,0.1
EX_mqn8_e,1,0.1
EX_12dgr180_e,1,0.1
EX_26dap_M_e,1,0.1
EX_2obut_e,1,0.1
EX_3mop_e,1,0.1
EX_4hbz_e,1,0.1
EX_ac_e,1,0.1
EX_acgam_e,1,0.1
EX_acnam_e,1,0.1
EX_acmana_e,1,0.1
EX_ade_e,1,0.1
EX_adn_e,1,0.1
EX_ala_D_e,1,0.1
EX_arab_D_e,1,0.1
EX_cgly_e,1,0.1
EX_chor_e,1,0.1
EX_cit_e,1,0.1
EX_amet_e,1,0.1
EX_csn_e,1,0.1
EX_cytd_e,1,0.1
EX_dad_2_e,1,0.1
EX_dcyt_e,1,0.1
EX_ddca_e,1,0.1
EX_dgsn_e,1,0.1
EX_for_e,1,0.1
EX_fum_e,1,0.1
EX_glyc3p_e,1,0.1
EX_gsn_e,1,0.1
EX_gthox_e,1,0.1
EX_gua_e,1,0.1
EX_h_e,1,0.1
EX_hxan_e,1,0.1
EX_indole_e,1,0.1
EX_lanost_e,1,0.1
EX_metsox_S_L_e,1,0.1
EX_mqn7_e,1,0.1
EX_ncam_e,1,0.1
EX_nmn_e,1,0.1
EX_orn_e,1,0.1
EX_pheme_e,1,0.1
EX_pi_e,1,0.1
EX_ptrc_e,1,0.1
EX_pydx5p_e,1,0.1
EX_q8_e,1,0.1
EX_sheme_e,1,0.1
EX_spmd_e,1,0.1
EX_thm_e,1,0.1
EX_thymd_e,1,0.1
EX_ura_e,1,0.1
EX_uri_e,1,0.1
EX_xan_e,1,0.1
EX_meoh_e,10,1
EX_h2o_e,10,1
EX_2dmmq8_e,1,0.1
EX_4abz_e,1,0.1
EX_amp_e,1,0.1
EX_fald_e,1,0.1
EX_gam_e,1,0.1
EX_glu_D_e,1,0.1
EX_gthrd_e,1,0.1
EX_h2_e,1,0.1
EX_no2_e,1,0.1
EX_o2_e,1,0.001